['1/150', '3.917778', '3.782525', '0.131786', '0.353052', '0.102026', '0.303963', '3.437259', '3.321278', '0.202100', '0.487000', '0.161000', '0.422600', '0:00:47']
['2/150', '3.212809', '3.113188', '0.236187', '0.528008', '0.203669', '0.485261', '3.004797', '2.881747', '0.275400', '0.585400', '0.243500', '0.536200', '0:00:47']
['3/150', '2.879669', '2.777128', '0.299412', '0.615919', '0.263893', '0.574762', '2.838568', '2.715109', '0.301200', '0.623000', '0.268200', '0.584600', '0:00:47']
['4/150', '2.819823', '2.702007', '0.321561', '0.644612', '0.286405', '0.608328', '2.706106', '2.602289', '0.336300', '0.645200', '0.305900', '0.615200', '0:00:47']
['5/150', '2.615980', '2.511797', '0.356979', '0.682607', '0.330581', '0.653290', '6.691328', '6.356280', '0.266800', '0.558500', '0.256800', '0.562600', '0:00:46']
['6/150', '2.419352', '2.324122', '0.387323', '0.714904', '0.361670', '0.692413', '2.464569', '2.352643', '0.396400', '0.709200', '0.376100', '0.687300', '0:00:47']
['7/150', '2.248446', '2.159032', '0.420627', '0.747020', '0.398135', '0.724227', '2.537212', '2.382837', '0.384100', '0.700500', '0.350300', '0.671900', '0:00:47']
['8/150', '2.166140', '2.071818', '0.441990', '0.764558', '0.418049', '0.742490', '2.688338', '2.498202', '0.376400', '0.683300', '0.333200', '0.631300', '0:00:46']
['9/150', '2.156470', '2.049433', '0.445917', '0.768706', '0.426486', '0.751369', '2.341526', '2.215669', '0.427300', '0.725800', '0.414500', '0.726400', '0:00:47']
['10/150', '2.022471', '1.928647', '0.472777', '0.786606', '0.453044', '0.771001', '2.331891', '2.194175', '0.427000', '0.740500', '0.421000', '0.735400', '0:00:46']
['11/150', '1.927556', '1.835156', '0.490234', '0.806298', '0.469173', '0.789163', '2.409522', '2.244655', '0.426000', '0.734000', '0.390000', '0.698800', '0:00:47']
['12/150', '1.881392', '1.783130', '0.504188', '0.817191', '0.485019', '0.800258', '2.746345', '2.547529', '0.385600', '0.695100', '0.369800', '0.665400', '0:00:47']
['13/150', '1.814836', '1.718624', '0.521162', '0.827038', '0.499617', '0.812419', '3.139262', '2.890647', '0.358400', '0.659300', '0.353300', '0.653500', '0:00:47']
['14/150', '1.749007', '1.651163', '0.535539', '0.838354', '0.514417', '0.823957', '2.428894', '2.271271', '0.444600', '0.737500', '0.423500', '0.722000', '0:00:47']
