['1/150', '4.116572', '3.866262', '0.122262', '0.334246', '0.092260', '0.286244', '4.169199', '3.924939', '0.152600', '0.414800', '0.128200', '0.385100', '0:00:47']
['2/150', '3.431851', '3.213094', '0.218408', '0.504047', '0.185889', '0.461602', '3.172220', '2.926144', '0.268100', '0.573500', '0.228900', '0.524000', '0:00:47']
['3/150', '3.131842', '2.912384', '0.275954', '0.591475', '0.246013', '0.551466', '3.096673', '2.851121', '0.283800', '0.604300', '0.259500', '0.562000', '0:00:47']
['4/150', '3.013035', '2.793798', '0.302936', '0.623188', '0.273256', '0.588011', '2.994548', '2.781695', '0.298600', '0.609800', '0.260900', '0.575200', '0:00:47']
['5/150', '2.952829', '2.743658', '0.314312', '0.635370', '0.287754', '0.605086', '2.908398', '2.677015', '0.331700', '0.640600', '0.303800', '0.623200', '0:00:47']
['6/150', '2.607526', '2.432151', '0.365234', '0.687883', '0.342320', '0.664224', '2.604063', '2.422559', '0.365900', '0.688300', '0.345600', '0.673800', '0:00:47']
['7/150', '2.434090', '2.271521', '0.397692', '0.721247', '0.371718', '0.700648', '2.646173', '2.437033', '0.369200', '0.693300', '0.345900', '0.670800', '0:00:47']
['8/150', '2.320004', '2.166165', '0.418331', '0.743476', '0.398941', '0.724529', '2.550136', '2.371111', '0.390500', '0.706000', '0.372400', '0.682600', '0:00:47']
['9/150', '2.230490', '2.085140', '0.437339', '0.760652', '0.414908', '0.740295', '2.768640', '2.551491', '0.352400', '0.676500', '0.332000', '0.651500', '0:00:47']
['10/150', '2.134860', '1.995520', '0.457132', '0.778411', '0.434158', '0.760269', '3.155959', '2.923249', '0.329000', '0.632700', '0.282900', '0.575600', '0:00:47']
['11/150', '2.157343', '2.017184', '0.454051', '0.772330', '0.432164', '0.752899', '3.495666', '3.158131', '0.267000', '0.565500', '0.236100', '0.526200', '0:00:47']
['12/150', '2.100965', '1.969235', '0.464401', '0.783284', '0.443259', '0.765484', '2.579607', '2.396889', '0.403300', '0.692200', '0.392900', '0.687700', '0:00:47']
['13/150', '1.958597', '1.840578', '0.491040', '0.804104', '0.468468', '0.789042', '2.736673', '2.497344', '0.393000', '0.692400', '0.350700', '0.645400', '0:00:47']
['14/150', '1.869001', '1.748978', '0.511477', '0.821239', '0.489550', '0.803359', '2.341241', '2.164217', '0.438400', '0.748400', '0.426000', '0.732700', '0:00:47']
['15/150', '1.786254', '1.669477', '0.528290', '0.837287', '0.507410', '0.818480', '2.377136', '2.178751', '0.442900', '0.754100', '0.410400', '0.722300', '0:00:47']
['16/150', '1.745393', '1.622379', '0.542707', '0.842200', '0.517498', '0.826635', '2.191551', '1.998635', '0.470900', '0.777600', '0.448600', '0.751300', '0:00:47']
['17/150', '1.738792', '1.610564', '0.546049', '0.843831', '0.522088', '0.825346', '6.283230', '5.896962', '0.320000', '0.588700', '0.304600', '0.570500', '0:00:47']
['18/150', '1.637796', '1.516057', '0.565782', '0.858851', '0.538479', '0.841495', '2.219287', '2.035774', '0.487200', '0.777700', '0.465900', '0.768600', '0:00:47']
['19/150', '1.552284', '1.428159', '0.587770', '0.873792', '0.559158', '0.855871', '8.836170', '7.867805', '0.452400', '0.737600', '0.405000', '0.703100', '0:00:47']
['20/150', '1.522799', '1.394971', '0.595925', '0.879732', '0.566930', '0.861328', '2.462161', '2.213770', '0.461800', '0.765400', '0.441400', '0.748100', '0:00:47']
['21/150', '1.481715', '1.352944', '0.606314', '0.887262', '0.576011', '0.868416', '2.076601', '1.889208', '0.519300', '0.804000', '0.495700', '0.790700', '0:00:47']
['22/150', '1.401130', '1.270821', '0.629188', '0.897008', '0.595925', '0.879873', '2.241759', '1.997686', '0.499600', '0.790300', '0.477400', '0.779600', '0:00:47']
['23/150', '1.348982', '1.216595', '0.639538', '0.906351', '0.604261', '0.886517', '2.197145', '1.953296', '0.501700', '0.795300', '0.487800', '0.783600', '0:00:47']
['24/150', '1.326581', '1.188269', '0.650250', '0.909552', '0.611509', '0.889397', '2.141259', '1.936350', '0.519700', '0.805500', '0.514600', '0.805200', '0:00:47']
['25/150', '1.270769', '1.129962', '0.664123', '0.916841', '0.626329', '0.897189', '2.253374', '1.988625', '0.527500', '0.809700', '0.514900', '0.801600', '0:00:47']
['26/150', '1.222367', '1.079989', '0.676426', '0.924432', '0.636014', '0.904156', '2.120546', '1.912383', '0.523300', '0.812400', '0.503100', '0.801100', '0:00:47']
['27/150', '1.200627', '1.052539', '0.684157', '0.928459', '0.643565', '0.908868', '4.111898', '3.606840', '0.460300', '0.760200', '0.460100', '0.766100', '0:00:47']
['28/150', '1.164003', '1.013157', '0.691950', '0.932808', '0.650934', '0.913338', '2.370581', '2.107182', '0.503700', '0.786000', '0.490100', '0.779300', '0:00:47']
['29/150', '1.192013', '1.031526', '0.689151', '0.930936', '0.644934', '0.909049', '2.117092', '1.883959', '0.537600', '0.820100', '0.516900', '0.807500', '0:00:47']
['30/150', '1.082149', '0.931770', '0.716354', '0.942433', '0.674291', '0.922761', '2.275891', '2.019924', '0.521200', '0.802900', '0.505700', '0.799000', '0:00:47']
['31/150', '1.069519', '0.911364', '0.721529', '0.945836', '0.676446', '0.925781', '2.282084', '1.973061', '0.534200', '0.817100', '0.517500', '0.808900', '0:00:47']
['32/150', '1.091337', '0.926137', '0.717139', '0.944245', '0.669680', '0.922137', '2.405625', '2.080489', '0.517600', '0.795100', '0.493800', '0.777200', '0:00:47']
['33/150', '1.033297', '0.868026', '0.735080', '0.949782', '0.687218', '0.929949', '2.295770', '1.976017', '0.548000', '0.825900', '0.531400', '0.814500', '0:00:47']
['34/150', '1.005810', '0.838792', '0.741805', '0.952843', '0.692232', '0.933755', '2.095467', '1.839878', '0.553000', '0.832100', '0.538300', '0.823200', '0:00:47']
['35/150', '0.996820', '0.825432', '0.746476', '0.955763', '0.695896', '0.933553', '2.198123', '1.942475', '0.545300', '0.823600', '0.535100', '0.815200', '0:00:47']
['36/150', '1.139769', '0.962556', '0.708360', '0.939171', '0.662391', '0.917606', '2.216447', '1.980066', '0.538600', '0.814600', '0.522600', '0.805000', '0:00:47']
['37/150', '0.943229', '0.777637', '0.757450', '0.960293', '0.705863', '0.940621', '2.322938', '2.056584', '0.532300', '0.810500', '0.527500', '0.809400', '0:00:47']
['38/150', '0.914317', '0.747650', '0.766793', '0.962830', '0.713676', '0.943802', '2.223264', '1.875302', '0.562100', '0.836700', '0.546900', '0.822200', '0:00:47']
['39/150', '0.883495', '0.711565', '0.777686', '0.966314', '0.722898', '0.947487', '2.296497', '2.016477', '0.553900', '0.825200', '0.539700', '0.821000', '0:00:47']
['40/150', '0.883331', '0.705129', '0.779901', '0.966173', '0.727207', '0.948595', '2.116651', '1.815345', '0.570400', '0.840600', '0.554200', '0.829400', '0:00:47']
['41/150', '0.875775', '0.696986', '0.781955', '0.967723', '0.728334', '0.948393', '2.348529', '1.991403', '0.550300', '0.829300', '0.532500', '0.817900', '0:00:47']
