['1/150', '3.995266', '3.846412', '0.122523', '0.343045', '0.095582', '0.291418', '3.882080', '3.687695', '0.160900', '0.415100', '0.128400', '0.364600', '0:00:48']
['2/150', '3.310039', '3.193567', '0.222817', '0.511739', '0.184601', '0.461219', '3.177244', '3.010781', '0.252100', '0.555500', '0.211800', '0.502300', '0:00:45']
['3/150', '3.041465', '2.912609', '0.278431', '0.591434', '0.244342', '0.553359', '3.480305', '3.188325', '0.247400', '0.536800', '0.212200', '0.495500', '0:00:48']
['4/150', '2.862579', '2.745347', '0.308594', '0.627819', '0.280183', '0.595804', '4.742833', '4.548282', '0.299100', '0.599100', '0.272000', '0.566200', '0:00:48']
['5/150', '2.587810', '2.490091', '0.355610', '0.680412', '0.331105', '0.655424', '2.715706', '2.605368', '0.339400', '0.641800', '0.316900', '0.619800', '0:00:46']
['6/150', '2.654254', '2.550560', '0.342743', '0.668593', '0.321521', '0.644189', '2.683724', '2.567406', '0.337300', '0.647600', '0.311200', '0.622800', '0:00:48']
['7/150', '2.364118', '2.274084', '0.394974', '0.723180', '0.374980', '0.700568', '2.503946', '2.390502', '0.381600', '0.698100', '0.368200', '0.683700', '0:00:47']
['8/150', '2.267808', '2.175276', '0.416720', '0.743295', '0.396565', '0.722656', '2.620145', '2.491415', '0.369900', '0.681400', '0.345800', '0.661000', '0:00:48']
['9/150', '2.213452', '2.121266', '0.432063', '0.752074', '0.413257', '0.734294', '3.448376', '3.209076', '0.255800', '0.544100', '0.215600', '0.495600', '0:00:48']
['10/150', '2.150659', '2.058037', '0.443661', '0.765021', '0.426325', '0.748731', '2.320050', '2.192164', '0.426800', '0.745300', '0.407100', '0.726900', '0:00:47']
['11/150', '2.012049', '1.924774', '0.470019', '0.790291', '0.454937', '0.775350', '3.152728', '2.994333', '0.326600', '0.615700', '0.317700', '0.604800', '0:00:48']
['12/150', '1.960231', '1.866628', '0.487959', '0.802171', '0.469334', '0.786324', '2.441869', '2.257278', '0.421400', '0.731100', '0.403600', '0.713300', '0:00:48']
['13/150', '1.893433', '1.801066', '0.502456', '0.814352', '0.483046', '0.799009', '2.328503', '2.177818', '0.433100', '0.748900', '0.418400', '0.732500', '0:00:47']
['14/150', '1.842589', '1.746403', '0.515605', '0.823856', '0.495510', '0.809762', '4.041482', '3.785108', '0.399900', '0.715000', '0.395300', '0.727300', '0:00:49']
['15/150', '1.801687', '1.704107', '0.523397', '0.830098', '0.504389', '0.818098', '2.560026', '2.404009', '0.413100', '0.719800', '0.393200', '0.708100', '0:00:48']
['16/150', '1.696687', '1.605087', '0.548043', '0.847092', '0.528069', '0.832736', '2.599809', '2.413336', '0.418500', '0.719100', '0.409300', '0.717100', '0:00:48']
['17/150', '1.771635', '1.671872', '0.532740', '0.834729', '0.513309', '0.821118', '2.412923', '2.225075', '0.432500', '0.741400', '0.402000', '0.712400', '0:00:48']
['18/150', '1.635695', '1.543081', '0.560527', '0.856314', '0.540693', '0.842300', '2.046025', '1.903871', '0.496200', '0.793100', '0.471000', '0.772900', '0:00:47']
['19/150', '1.526747', '1.434629', '0.585273', '0.874054', '0.563044', '0.858791', '2.373463', '2.205152', '0.468700', '0.759100', '0.448600', '0.735000', '0:00:48']
['20/150', '1.447212', '1.353294', '0.608791', '0.886960', '0.585273', '0.871617', '2.532203', '2.346724', '0.448200', '0.735400', '0.435400', '0.727700', '0:00:48']
['21/150', '1.426832', '1.320434', '0.614912', '0.891591', '0.589441', '0.878020', '2.446300', '2.215104', '0.464000', '0.763400', '0.468500', '0.769800', '0:00:48']
['22/150', '1.352564', '1.254474', '0.631302', '0.898961', '0.604079', '0.884625', '2.069193', '1.903362', '0.509500', '0.809500', '0.491700', '0.790700', '0:00:47']
['23/150', '1.305251', '1.205322', '0.644451', '0.906250', '0.616020', '0.890987', '2.014920', '1.828046', '0.526800', '0.814200', '0.498800', '0.796800', '0:00:47']
['24/150', '1.266228', '1.162640', '0.653834', '0.913559', '0.626691', '0.898860', '2.443811', '2.238844', '0.475900', '0.766600', '0.466000', '0.754600', '0:00:47']
['25/150', '1.221426', '1.114736', '0.666499', '0.919982', '0.638873', '0.904337', '2.332370', '2.123214', '0.492900', '0.778400', '0.482700', '0.771800', '0:00:48']
['26/150', '1.181757', '1.072895', '0.678600', '0.925580', '0.645357', '0.910398', '2.814699', '2.596074', '0.441200', '0.737200', '0.437500', '0.733400', '0:00:48']
['27/150', '1.150923', '1.037163', '0.689493', '0.930432', '0.655948', '0.913297', '2.225476', '2.006141', '0.512700', '0.806500', '0.513600', '0.811700', '0:00:47']
['28/150', '1.111784', '0.997287', '0.698212', '0.934017', '0.666076', '0.917586', '2.100223', '1.905924', '0.538000', '0.815400', '0.531000', '0.814400', '0:00:48']
['29/150', '1.093199', '0.972658', '0.704333', '0.937983', '0.668190', '0.921573', '2.005074', '1.776232', '0.557300', '0.829900', '0.534800', '0.811100', '0:00:48']
['30/150', '1.051090', '0.930603', '0.715246', '0.943037', '0.680292', '0.926506', '2.086464', '1.886736', '0.540100', '0.825100', '0.532100', '0.824700', '0:00:47']
['31/150', '1.020259', '0.897756', '0.728838', '0.946380', '0.689030', '0.929204', '2.146923', '1.902401', '0.545300', '0.825500', '0.532800', '0.818400', '0:00:47']
['32/150', '0.996791', '0.871936', '0.729764', '0.950568', '0.692292', '0.934178', '2.439646', '2.188935', '0.507400', '0.789900', '0.488900', '0.777100', '0:00:47']
['33/150', '0.972827', '0.846880', '0.740033', '0.951756', '0.700246', '0.936654', '2.171573', '1.901322', '0.546400', '0.826100', '0.520700', '0.806700', '0:00:48']
['34/150', '0.943786', '0.813699', '0.747121', '0.955783', '0.705441', '0.939735', '2.176045', '1.839666', '0.556300', '0.833300', '0.524100', '0.808700', '0:00:47']
['35/150', '0.921460', '0.791110', '0.754510', '0.958078', '0.714139', '0.942131', '2.291549', '2.033809', '0.530000', '0.820500', '0.523400', '0.809900', '0:00:47']
['36/150', '0.892487', '0.760797', '0.762363', '0.961622', '0.719777', '0.946078', '2.066107', '1.826629', '0.562200', '0.840600', '0.541800', '0.826600', '0:00:45']
['37/150', '0.870350', '0.736931', '0.768746', '0.963233', '0.727489', '0.948292', '2.173611', '1.924520', '0.554300', '0.824200', '0.545400', '0.826100', '0:00:46']
['38/150', '0.855374', '0.720238', '0.773297', '0.964743', '0.730771', '0.950668', '2.401308', '2.135129', '0.527700', '0.810800', '0.531400', '0.815500', '0:00:46']
['39/150', '0.844072', '0.707502', '0.779961', '0.965166', '0.735523', '0.950407', '2.190702', '1.897540', '0.559700', '0.836000', '0.551700', '0.827400', '0:00:46']
['40/150', '0.815199', '0.678507', '0.785841', '0.969616', '0.738523', '0.954555', '2.039084', '1.785116', '0.580400', '0.847000', '0.566200', '0.839000', '0:00:46']
['41/150', '0.818956', '0.681672', '0.785821', '0.969394', '0.742872', '0.955300', '2.703342', '2.436421', '0.506400', '0.784900', '0.480500', '0.766000', '0:00:46']
['42/150', '0.782364', '0.645573', '0.796251', '0.972938', '0.751691', '0.958018', '2.157244', '1.913953', '0.561700', '0.838200', '0.553100', '0.830200', '0:00:46']
['43/150', '0.756310', '0.619759', '0.804587', '0.973784', '0.759544', '0.960052', '2.266426', '1.985867', '0.562000', '0.834400', '0.551800', '0.825400', '0:00:46']
['44/150', '0.747681', '0.608936', '0.808533', '0.975958', '0.762887', '0.960817', '2.125480', '1.845883', '0.584100', '0.844300', '0.566600', '0.838700', '0:00:46']
['45/150', '0.735050', '0.593459', '0.809782', '0.977750', '0.764759', '0.964280', '2.302974', '2.024063', '0.562400', '0.830200', '0.546900', '0.821300', '0:00:46']
['46/150', '0.712041', '0.574064', '0.816728', '0.978254', '0.771605', '0.964703', '2.471037', '2.192394', '0.548500', '0.824400', '0.551500', '0.824300', '0:00:46']
['47/150', '0.690485', '0.552840', '0.822930', '0.979804', '0.775954', '0.967079', '2.434007', '2.126492', '0.544900', '0.821600', '0.524700', '0.811300', '0:00:46']
['48/150', '0.690184', '0.549715', '0.824843', '0.980287', '0.780183', '0.967481', '2.305314', '1.987492', '0.571900', '0.842100', '0.562300', '0.835500', '0:00:46']
['49/150', '0.669277', '0.529529', '0.830400', '0.981496', '0.778028', '0.968388', '2.162762', '1.922499', '0.573700', '0.843300', '0.556100', '0.833500', '0:00:45']
['50/150', '0.653672', '0.513905', '0.835716', '0.982422', '0.787069', '0.970220', '2.286332', '2.022056', '0.571800', '0.837400', '0.566800', '0.836300', '0:00:46']
['51/150', '0.640524', '0.502716', '0.840146', '0.983207', '0.793009', '0.970965', '2.244015', '1.998420', '0.586200', '0.845500', '0.572200', '0.837900', '0:00:46']
['52/150', '0.646945', '0.504649', '0.838636', '0.982945', '0.790754', '0.972052', '2.504917', '2.149415', '0.550900', '0.822800', '0.525400', '0.802900', '0:00:45']
['53/150', '0.606569', '0.471319', '0.850435', '0.984717', '0.801667', '0.974207', '2.490370', '2.214578', '0.553900', '0.827100', '0.547200', '0.819900', '0:00:45']
['54/150', '0.605346', '0.469540', '0.848482', '0.985462', '0.805432', '0.975314', '2.459721', '2.146747', '0.568600', '0.834000', '0.563600', '0.830900', '0:00:46']
['55/150', '0.593073', '0.458844', '0.852005', '0.986509', '0.807889', '0.975898', '2.444170', '2.121197', '0.567300', '0.834000', '0.548900', '0.818300', '0:00:45']
['56/150', '0.584299', '0.447707', '0.855247', '0.986187', '0.810668', '0.976844', '2.378798', '2.098862', '0.571700', '0.837000', '0.550500', '0.829500', '0:00:46']
['57/150', '0.560407', '0.426159', '0.861711', '0.987959', '0.816970', '0.978173', '2.345622', '2.071785', '0.577400', '0.846100', '0.574600', '0.842000', '0:00:46']
['58/150', '0.568578', '0.427798', '0.861368', '0.987959', '0.811695', '0.977589', '2.395041', '2.089365', '0.573500', '0.842800', '0.565000', '0.838800', '0:00:46']
['59/150', '0.530003', '0.397606', '0.873248', '0.989449', '0.824319', '0.980509', '2.541113', '2.126849', '0.570900', '0.836500', '0.549700', '0.823400', '0:00:46']
['60/150', '0.528735', '0.398905', '0.870429', '0.989288', '0.825427', '0.979925', '2.521509', '2.116145', '0.580600', '0.843000', '0.548500', '0.823100', '0:00:46']
['61/150', '0.516166', '0.386350', '0.875000', '0.989872', '0.829253', '0.982059', '2.474997', '2.122097', '0.567700', '0.842800', '0.563300', '0.839300', '0:00:46']
['62/150', '0.567046', '0.425907', '0.862254', '0.988321', '0.820735', '0.979180', '2.639708', '2.133392', '0.570800', '0.836200', '0.547700', '0.821300', '0:00:47']
['63/150', '0.514314', '0.387339', '0.875664', '0.989691', '0.832373', '0.981596', '2.297646', '2.005014', '0.582100', '0.850500', '0.571200', '0.838900', '0:00:46']
['64/150', '0.464475', '0.343551', '0.888591', '0.991926', '0.844616', '0.984617', '2.504845', '2.168869', '0.575100', '0.843400', '0.566200', '0.832900', '0:00:45']
['65/150', '0.472340', '0.346627', '0.886819', '0.991785', '0.842602', '0.984637', '2.376626', '2.088088', '0.582000', '0.845500', '0.574800', '0.843800', '0:00:46']
['66/150', '0.462175', '0.338296', '0.890383', '0.992510', '0.847878', '0.985503', '2.502285', '2.071259', '0.586300', '0.848700', '0.555800', '0.833800', '0:00:46']
['67/150', '0.453190', '0.326816', '0.893726', '0.993436', '0.851019', '0.986691', '2.535172', '2.173325', '0.579200', '0.843900', '0.571700', '0.841700', '0:00:46']
['68/150', '0.429716', '0.308596', '0.899223', '0.993939', '0.854603', '0.987717', '2.388317', '2.122997', '0.588100', '0.846500', '0.580800', '0.848100', '0:00:46']
['69/150', '0.426821', '0.308642', '0.900330', '0.993094', '0.855871', '0.986811', '2.486648', '2.136736', '0.590600', '0.846300', '0.571000', '0.837200', '0:00:46']
['70/150', '0.416508', '0.299807', '0.902787', '0.993959', '0.861449', '0.988422', '2.429696', '2.119808', '0.588100', '0.850600', '0.573400', '0.844200', '0:00:46']
['71/150', '0.413828', '0.292205', '0.904398', '0.994060', '0.862999', '0.988362', '2.495230', '2.194072', '0.582500', '0.845600', '0.563100', '0.832300', '0:00:45']
['72/150', '0.417708', '0.297342', '0.903955', '0.993959', '0.862798', '0.988503', '3.376823', '2.192103', '0.576000', '0.843900', '0.477800', '0.770800', '0:00:46']
['73/150', '0.387001', '0.275387', '0.910176', '0.994886', '0.869100', '0.989469', '2.359163', '2.082199', '0.593500', '0.854200', '0.584100', '0.850600', '0:00:46']
['74/150', '0.372705', '0.260862', '0.915009', '0.995027', '0.873953', '0.990496', '2.604402', '2.303106', '0.580600', '0.832500', '0.571300', '0.835800', '0:00:46']
['75/150', '0.366003', '0.256554', '0.915995', '0.995530', '0.874960', '0.990838', '2.360717', '2.062774', '0.595700', '0.858000', '0.584500', '0.849300', '0:00:45']
['76/150', '0.356915', '0.249895', '0.919559', '0.995590', '0.882329', '0.991322', '2.512234', '2.191993', '0.593700', '0.853400', '0.568800', '0.835100', '0:00:46']
['77/150', '0.355221', '0.247092', '0.920405', '0.996094', '0.880598', '0.990959', '2.551688', '2.111237', '0.605200', '0.856100', '0.578400', '0.844300', '0:00:46']
['78/150', '0.340191', '0.236055', '0.923244', '0.996074', '0.886135', '0.991805', '2.768841', '2.279218', '0.584500', '0.839500', '0.550000', '0.819400', '0:00:46']
['79/150', '0.337887', '0.232719', '0.924452', '0.996295', '0.886517', '0.991583', '3.115546', '2.148700', '0.596700', '0.855700', '0.527700', '0.810000', '0:00:45']
['80/150', '0.337424', '0.234504', '0.925036', '0.995953', '0.887564', '0.991140', '2.496806', '2.132284', '0.604600', '0.856300', '0.582400', '0.844000', '0:00:45']
['81/150', '0.312166', '0.213445', '0.931741', '0.996537', '0.894813', '0.992872', '2.506911', '2.089169', '0.600400', '0.857400', '0.575800', '0.846600', '0:00:45']
['82/150', '0.302388', '0.205594', '0.933855', '0.996859', '0.897552', '0.993315', '2.576944', '2.221042', '0.595900', '0.850300', '0.574800', '0.836400', '0:00:46']
['83/150', '0.297453', '0.202032', '0.933694', '0.996698', '0.899384', '0.993577', '3.353664', '2.150666', '0.606200', '0.855300', '0.519700', '0.798000', '0:00:46']
['84/150', '0.282523', '0.191899', '0.937963', '0.997543', '0.904760', '0.994261', '2.984723', '2.283881', '0.596600', '0.850400', '0.552800', '0.818300', '0:00:45']
['85/150', '0.281528', '0.190131', '0.939453', '0.997181', '0.905183', '0.994181', '2.812984', '2.126032', '0.606800', '0.858300', '0.551300', '0.821800', '0:00:45']
['86/150', '0.265813', '0.178860', '0.942977', '0.997342', '0.909270', '0.994302', '2.722221', '2.186259', '0.602800', '0.857800', '0.565300', '0.835800', '0:00:46']
['87/150', '0.258604', '0.173341', '0.943863', '0.997886', '0.911968', '0.995067', '2.787595', '2.227245', '0.604200', '0.857300', '0.584000', '0.848300', '0:00:46']
['88/150', '0.258464', '0.173106', '0.945212', '0.997584', '0.913217', '0.994765', '2.558733', '2.154778', '0.611000', '0.861700', '0.584000', '0.848500', '0:00:46']
['89/150', '0.363590', '0.253790', '0.918613', '0.995006', '0.888511', '0.990999', '3.035203', '2.218826', '0.591500', '0.849300', '0.523900', '0.804800', '0:00:46']
['90/150', '0.265832', '0.178151', '0.942816', '0.997845', '0.909975', '0.994825', '2.321935', '2.060138', '0.619200', '0.863300', '0.598000', '0.856600', '0:00:45']
