['112/150', '0.114937', '0.070446', '0.978737', '0.999517', '0.958259', '0.998651', '2.504894', '2.210436', '0.623400', '0.866500', '0.600200', '0.856900', '0:00:44']
['113/150', '0.110650', '0.066105', '0.979422', '0.999537', '0.959850', '0.998752', '3.087605', '2.200286', '0.625100', '0.867800', '0.552000', '0.818700', '0:00:44']
['114/150', '0.104409', '0.063541', '0.981153', '0.999416', '0.962649', '0.998812', '2.636567', '2.181742', '0.631000', '0.872100', '0.605200', '0.857900', '0:00:44']
['115/150', '0.097627', '0.059373', '0.981918', '0.999678', '0.965428', '0.998852', '2.687230', '2.159247', '0.632400', '0.869000', '0.594000', '0.848000', '0:00:44']
['116/150', '0.096437', '0.057969', '0.982462', '0.999678', '0.964320', '0.998893', '2.745069', '2.182296', '0.633500', '0.870100', '0.585700', '0.843300', '0:00:44']
['117/150', '0.093863', '0.056471', '0.983247', '0.999497', '0.965971', '0.998752', '3.688737', '2.180643', '0.631300', '0.869700', '0.529700', '0.804300', '0:00:44']
['118/150', '0.093599', '0.056341', '0.983247', '0.999537', '0.965166', '0.998752', '4.464848', '2.167483', '0.631000', '0.870900', '0.435300', '0.734400', '0:00:44']
['119/150', '0.082927', '0.048649', '0.985684', '0.999758', '0.970482', '0.999134', '2.800634', '2.196918', '0.633300', '0.870900', '0.590600', '0.850300', '0:00:44']
['120/150', '0.081685', '0.047766', '0.986389', '0.999698', '0.969998', '0.999074', '2.552898', '2.198855', '0.635500', '0.870200', '0.618300', '0.864100', '0:00:44']
['121/150', '0.074970', '0.042935', '0.987617', '0.999819', '0.971770', '0.999396', '2.532172', '2.178016', '0.631600', '0.873200', '0.613200', '0.861800', '0:00:44']
['122/150', '0.074845', '0.043409', '0.987335', '0.999859', '0.971569', '0.999436', '2.859777', '2.163931', '0.636700', '0.871800', '0.586800', '0.847500', '0:00:44']
['123/150', '0.071787', '0.042905', '0.987456', '0.999819', '0.973079', '0.999134', '2.606415', '2.215861', '0.633900', '0.873900', '0.608200', '0.860400', '0:00:44']
