['1/150', '3.643519', '3.643519', '0.155090', '0.385423', '0.011104', '0.051456', '3.343081', '3.343081', '0.206300', '0.471300', '0.009400', '0.055100', '0:01:35']
['2/150', '3.088013', '3.088013', '0.244298', '0.529249', '0.010483', '0.053657', '2.885946', '2.885946', '0.284400', '0.571900', '0.012000', '0.060100', '0:01:41']
['3/150', '2.799941', '2.799619', '0.295134', '0.599212', '0.011664', '0.059919', '2.662977', '2.662628', '0.325100', '0.640800', '0.013800', '0.068900', '0:01:39']
['4/150', '2.596563', '2.595142', '0.335507', '0.649168', '0.021827', '0.096751', '2.523874', '2.522354', '0.359900', '0.668400', '0.036100', '0.142700', '0:01:37']
['5/150', '2.446176', '2.442868', '0.366697', '0.684159', '0.051056', '0.176036', '2.519364', '2.515931', '0.364000', '0.669800', '0.068200', '0.224800', '0:01:38']
['6/150', '2.325657', '2.320120', '0.390325', '0.710307', '0.083547', '0.269326', '2.340237', '2.334794', '0.403100', '0.702800', '0.115800', '0.337400', '0:01:39']
['7/150', '2.195528', '2.188253', '0.420775', '0.738056', '0.141025', '0.383343', '2.356877', '2.350116', '0.403600', '0.712300', '0.186500', '0.457300', '0:01:37']
['8/150', '2.097474', '2.089243', '0.442041', '0.758083', '0.205926', '0.492678', '2.172730', '2.165007', '0.428500', '0.743300', '0.240700', '0.535900', '0:01:37']
['9/150', '1.984323', '1.974891', '0.466209', '0.778669', '0.252901', '0.560779', '2.129010', '2.119939', '0.443200', '0.757800', '0.276100', '0.588400', '0:01:40']
['10/150', '1.876094', '1.865105', '0.488596', '0.802577', '0.292314', '0.609435', '2.044671', '2.033350', '0.470300', '0.773300', '0.313000', '0.631800', '0:01:37']
['11/150', '1.768770', '1.755767', '0.515605', '0.820483', '0.321363', '0.645166', '1.940564', '1.927506', '0.486500', '0.788000', '0.348400', '0.667100', '0:01:38']
['12/150', '1.662682', '1.647125', '0.538732', '0.839749', '0.343970', '0.669774', '2.020603', '2.004106', '0.476900', '0.785100', '0.350700', '0.667400', '0:01:40']
['13/150', '1.555156', '1.536538', '0.567902', '0.858575', '0.370319', '0.695002', '1.847028', '1.828804', '0.525300', '0.800800', '0.399200', '0.709900', '0:01:37']
['14/150', '1.453466', '1.431246', '0.592029', '0.872479', '0.385583', '0.710948', '1.917330', '1.894170', '0.516000', '0.794200', '0.388200', '0.701800', '0:01:39']
['15/150', '1.354547', '1.328128', '0.617678', '0.889845', '0.404770', '0.730154', '1.767363', '1.741269', '0.535200', '0.826900', '0.430800', '0.737900', '0:01:40']
['16/150', '1.249635', '1.218292', '0.644506', '0.904770', '0.421895', '0.742638', '1.944847', '1.913018', '0.523700', '0.806200', '0.420600', '0.722600', '0:01:37']
['17/150', '1.159674', '1.122835', '0.669254', '0.918254', '0.437700', '0.755702', '1.810355', '1.774665', '0.547500', '0.824100', '0.429900', '0.743600', '0:01:40']
['18/150', '1.060196', '1.016659', '0.694222', '0.933739', '0.445383', '0.767586', '1.744195', '1.701961', '0.563800', '0.837000', '0.454900', '0.764700', '0:01:39']
['19/150', '0.988722', '0.938498', '0.716989', '0.941661', '0.459027', '0.775368', '1.743970', '1.696363', '0.568900', '0.840800', '0.464900', '0.776700', '0:01:36']
['20/150', '0.910701', '0.852522', '0.739957', '0.951625', '0.470110', '0.785791', '1.787365', '1.735575', '0.574300', '0.842600', '0.485100', '0.777700', '0:01:40']
['21/150', '0.854679', '0.788218', '0.756522', '0.959227', '0.478993', '0.793614', '1.814503', '1.752263', '0.578400', '0.841100', '0.479500', '0.780700', '0:01:37']
['22/150', '0.810736', '0.735807', '0.772107', '0.964669', '0.487156', '0.798415', '1.820237', '1.751078', '0.581900', '0.839300', '0.478700', '0.774900', '0:01:38']
['23/150', '0.751952', '0.667676', '0.793474', '0.969730', '0.494518', '0.804357', '1.886442', '1.805887', '0.578800', '0.840800', '0.471300', '0.762800', '0:01:40']
['24/150', '0.711139', '0.616601', '0.808939', '0.975392', '0.504802', '0.811100', '1.868026', '1.783655', '0.577300', '0.843900', '0.506000', '0.798000', '0:01:37']
['25/150', '0.682770', '0.577692', '0.820062', '0.977493', '0.509023', '0.814341', '1.843030', '1.751575', '0.588400', '0.851900', '0.498900', '0.795200', '0:01:38']
['26/150', '0.651811', '0.536665', '0.830706', '0.981534', '0.513724', '0.821783', '1.853507', '1.755707', '0.591600', '0.851600', '0.508400', '0.807100', '0:01:39']
['27/150', '0.633156', '0.507862', '0.842189', '0.983155', '0.523107', '0.825364', '1.908017', '1.798223', '0.588900', '0.844900', '0.503300', '0.798300', '0:01:37']
['28/150', '0.617937', '0.481224', '0.847951', '0.985235', '0.528309', '0.827625', '1.931684', '1.814603', '0.592200', '0.853600', '0.508400', '0.802600', '0:01:38']
['29/150', '0.589551', '0.442546', '0.860956', '0.986636', '0.534751', '0.835467', '1.960462', '1.831484', '0.583600', '0.850000', '0.509100', '0.807900', '0:01:40']
['30/150', '0.591245', '0.432500', '0.863056', '0.987816', '0.537972', '0.833647', '1.954535', '1.813234', '0.599600', '0.851900', '0.505700', '0.803600', '0:01:37']
['31/150', '0.579054', '0.409886', '0.871839', '0.988216', '0.544934', '0.841309', '2.027956', '1.875080', '0.595500', '0.847900', '0.505700', '0.809300', '0:01:40']
['32/150', '0.573693', '0.391221', '0.875880', '0.989817', '0.548756', '0.843830', '2.017620', '1.861470', '0.598900', '0.850500', '0.528600', '0.818000', '0:01:37']
['33/150', '0.567282', '0.374252', '0.880842', '0.990857', '0.552517', '0.846591', '1.990893', '1.828568', '0.592200', '0.852400', '0.531600', '0.815900', '0:01:38']
['34/150', '0.563002', '0.358404', '0.888084', '0.991677', '0.560539', '0.848412', '2.049397', '1.876603', '0.595700', '0.852400', '0.535500', '0.822700', '0:01:40']
['35/150', '0.557561', '0.340938', '0.893806', '0.991997', '0.564481', '0.854193', '2.080231', '1.891371', '0.594000', '0.849200', '0.513800', '0.806800', '0:01:37']
['36/150', '0.560123', '0.331445', '0.896247', '0.992758', '0.567942', '0.855854', '1.978100', '1.786102', '0.609600', '0.859800', '0.543000', '0.832200', '0:01:38']
['37/150', '0.553632', '0.313795', '0.900188', '0.993398', '0.572663', '0.859075', '2.042456', '1.839163', '0.604600', '0.853000', '0.539200', '0.827200', '0:01:40']
['38/150', '0.564588', '0.312860', '0.903289', '0.993338', '0.579245', '0.861776', '2.005747', '1.788594', '0.609100', '0.860700', '0.535100', '0.821100', '0:01:37']
['39/150', '0.569399', '0.306728', '0.904329', '0.992998', '0.583447', '0.865797', '2.016796', '1.792468', '0.608300', '0.858100', '0.550900', '0.833400', '0:01:38']
['40/150', '0.570858', '0.297858', '0.909091', '0.994518', '0.585327', '0.868938', '2.058689', '1.820567', '0.606100', '0.854900', '0.535500', '0.826300', '0:01:40']
['41/150', '0.573855', '0.285993', '0.911952', '0.994258', '0.590609', '0.870979', '2.041755', '1.796309', '0.609800', '0.859200', '0.541500', '0.832800', '0:01:37']
['42/150', '0.580907', '0.285373', '0.911932', '0.994798', '0.595751', '0.871399', '2.027205', '1.772590', '0.608300', '0.858100', '0.549900', '0.836900', '0:01:39']
['43/150', '0.580318', '0.271318', '0.916493', '0.995158', '0.599812', '0.875040', '1.991313', '1.733886', '0.618100', '0.863700', '0.561000', '0.840600', '0:01:39']
['44/150', '0.586462', '0.267573', '0.917174', '0.995619', '0.602653', '0.880242', '2.033844', '1.750343', '0.615400', '0.867100', '0.557100', '0.837000', '0:01:36']
['45/150', '0.592595', '0.262528', '0.919774', '0.995238', '0.606034', '0.880742', '2.000560', '1.723924', '0.627500', '0.867400', '0.569600', '0.846600', '0:01:40']
['46/150', '0.602029', '0.260545', '0.920295', '0.995679', '0.608135', '0.880902', '2.003975', '1.716921', '0.618900', '0.871100', '0.558700', '0.843900', '0:01:37']
['47/150', '0.605028', '0.255765', '0.922315', '0.995799', '0.613676', '0.886204', '2.000338', '1.696529', '0.623700', '0.870100', '0.562600', '0.839200', '0:01:38']
['48/150', '0.614821', '0.254814', '0.924036', '0.995999', '0.617077', '0.886304', '2.018074', '1.705577', '0.622800', '0.868300', '0.565600', '0.845400', '0:01:40']
['49/150', '0.622271', '0.254580', '0.922855', '0.995819', '0.621419', '0.889665', '2.017556', '1.684340', '0.619900', '0.868000', '0.555000', '0.831300', '0:01:37']
['50/150', '0.627796', '0.253487', '0.924636', '0.995659', '0.625360', '0.890625', '1.986557', '1.668294', '0.623800', '0.873300', '0.571300', '0.846500', '0:01:38']
['51/150', '0.632920', '0.251704', '0.924776', '0.995379', '0.629802', '0.892606', '1.986274', '1.655060', '0.629100', '0.873200', '0.581300', '0.848400', '0:01:40']
['52/150', '0.639710', '0.250595', '0.926957', '0.995939', '0.632462', '0.896187', '1.930967', '1.595061', '0.628100', '0.875700', '0.576700', '0.850200', '0:01:37']
['53/150', '0.648169', '0.249448', '0.926917', '0.996319', '0.639064', '0.896727', '1.971753', '1.632253', '0.622000', '0.871000', '0.566700', '0.844600', '0:01:38']
['54/150', '0.656852', '0.255080', '0.926617', '0.995839', '0.637804', '0.897967', '1.973039', '1.627427', '0.627700', '0.875100', '0.578200', '0.849700', '0:01:40']
['55/150', '0.665882', '0.257718', '0.924576', '0.995559', '0.641285', '0.898808', '1.907614', '1.553765', '0.635600', '0.879100', '0.579300', '0.852700', '0:01:37']
['56/150', '0.666897', '0.255755', '0.927117', '0.995799', '0.646447', '0.902209', '1.894071', '1.526550', '0.635500', '0.876100', '0.573900', '0.851900', '0:01:39']
['57/150', '0.675753', '0.257549', '0.928177', '0.996259', '0.647307', '0.902189', '1.880056', '1.522797', '0.644000', '0.880500', '0.582100', '0.853400', '0:01:39']
['58/150', '0.676500', '0.257646', '0.928017', '0.995739', '0.655030', '0.905970', '1.868020', '1.511782', '0.632500', '0.878000', '0.589700', '0.864200', '0:01:36']
['59/150', '0.688146', '0.265793', '0.926336', '0.995359', '0.653449', '0.906430', '1.846277', '1.481993', '0.645300', '0.882600', '0.587100', '0.852700', '0:01:40']
['60/150', '0.688639', '0.265373', '0.926697', '0.995759', '0.659151', '0.909011', '1.853184', '1.484510', '0.640200', '0.881300', '0.587400', '0.859700', '0:01:38']
['61/150', '0.693492', '0.271188', '0.925796', '0.995579', '0.661972', '0.908431', '1.843668', '1.447068', '0.638800', '0.882100', '0.577100', '0.849600', '0:01:37']
['62/150', '0.698735', '0.278832', '0.924036', '0.995799', '0.666413', '0.909511', '1.773700', '1.406615', '0.644000', '0.886900', '0.590800', '0.863500', '0:01:40']
['63/150', '0.700612', '0.278963', '0.924156', '0.995779', '0.667634', '0.911452', '1.797621', '1.435751', '0.644700', '0.882800', '0.592100', '0.857600', '0:01:37']
['64/150', '0.701497', '0.280488', '0.925616', '0.995359', '0.672155', '0.914893', '1.793110', '1.412624', '0.642800', '0.882400', '0.588800', '0.855100', '0:01:38']
['65/150', '0.710095', '0.285432', '0.924056', '0.995759', '0.674336', '0.915133', '1.738901', '1.369771', '0.655100', '0.887100', '0.603600', '0.866400', '0:01:39']
['66/150', '0.713369', '0.291106', '0.923656', '0.995198', '0.677877', '0.917734', '1.732310', '1.354178', '0.653900', '0.890000', '0.598000', '0.862900', '0:01:37']
['67/150', '0.716826', '0.294143', '0.921855', '0.995259', '0.679397', '0.915513', '1.740995', '1.367116', '0.647000', '0.887800', '0.598100', '0.863300', '0:01:38']
['68/150', '0.716035', '0.297610', '0.922115', '0.995779', '0.682118', '0.918454', '1.765764', '1.386761', '0.648000', '0.887000', '0.601200', '0.866000', '0:01:40']
['69/150', '0.720411', '0.302673', '0.919714', '0.995299', '0.686040', '0.920014', '1.708795', '1.335046', '0.651600', '0.890800', '0.609400', '0.873100', '0:01:37']
['70/150', '0.726536', '0.308780', '0.918974', '0.995499', '0.684739', '0.920455', '1.697796', '1.318686', '0.655400', '0.890200', '0.610700', '0.868900', '0:01:39']
['71/150', '0.730673', '0.313287', '0.918114', '0.995078', '0.689081', '0.921135', '1.686187', '1.312765', '0.656800', '0.890000', '0.608800', '0.865000', '0:01:37']
['72/150', '0.729825', '0.315483', '0.917033', '0.995098', '0.691181', '0.921955', '1.688994', '1.323588', '0.659000', '0.890000', '0.610300', '0.870000', '0:01:38']
