['1/150', '4.891727', '3.710965', '0.138893', '0.367671', '0.052271', '0.193118', '4.511298', '3.345548', '0.186700', '0.471500', '0.068700', '0.279800', '0:00:48']
['2/150', '4.197195', '3.052428', '0.246859', '0.543230', '0.092401', '0.293150', '3.963004', '2.837039', '0.288600', '0.596100', '0.109400', '0.315700', '0:00:49']
['3/150', '3.782726', '2.684712', '0.314272', '0.632128', '0.139095', '0.390907', '3.729146', '2.656174', '0.331700', '0.638600', '0.171900', '0.434800', '0:00:52']
['4/150', '3.494897', '2.459188', '0.361509', '0.685486', '0.226965', '0.524525', '3.783853', '2.780934', '0.315100', '0.620500', '0.210300', '0.486900', '0:00:55']
['5/150', '3.222215', '2.266933', '0.401780', '0.725173', '0.303802', '0.624134', '3.638307', '2.723091', '0.328600', '0.645200', '0.234800', '0.524400', '0:00:49']
['6/150', '2.995423', '2.137024', '0.428741', '0.751228', '0.343206', '0.668714', '3.306215', '2.493302', '0.371600', '0.685000', '0.300300', '0.606900', '0:00:49']
['7/150', '2.771188', '2.021234', '0.452380', '0.776337', '0.374456', '0.702521', '3.118286', '2.416059', '0.383100', '0.702000', '0.307500', '0.631100', '0:00:48']
['8/150', '2.576086', '1.939077', '0.468508', '0.789626', '0.394068', '0.724146', '3.047911', '2.457429', '0.396100', '0.695000', '0.330000', '0.632300', '0:00:49']
['9/150', '2.376705', '1.846698', '0.492892', '0.806278', '0.417647', '0.740093', '2.862794', '2.371383', '0.415500', '0.717700', '0.353500', '0.662800', '0:00:49']
['10/150', '2.226237', '1.785275', '0.504551', '0.819467', '0.428499', '0.754289', '2.760864', '2.348011', '0.418800', '0.721800', '0.333900', '0.651800', '0:00:48']
['11/150', '2.099605', '1.728622', '0.520498', '0.827702', '0.444165', '0.765343', '3.078599', '2.730175', '0.373400', '0.676300', '0.364000', '0.668800', '0:00:51']
['12/150', '1.985199', '1.670914', '0.530847', '0.835072', '0.454333', '0.774364', '2.762932', '2.465424', '0.421200', '0.719500', '0.352000', '0.658500', '0:00:48']
['13/150', '1.877822', '1.607022', '0.547962', '0.847918', '0.469213', '0.783847', '2.865493', '2.601025', '0.409600', '0.707900', '0.346400', '0.643700', '0:00:49']
['14/150', '1.793470', '1.547635', '0.560587', '0.858247', '0.478173', '0.796150', '2.775934', '2.527646', '0.408500', '0.719700', '0.334400', '0.648000', '0:00:49']
['15/150', '1.692219', '1.457878', '0.584206', '0.871557', '0.495872', '0.810889', '2.588885', '2.351104', '0.454200', '0.743200', '0.423000', '0.725100', '0:00:48']
['16/150', '1.636975', '1.406361', '0.598099', '0.880557', '0.507490', '0.818440', '2.431928', '2.192952', '0.464600', '0.767500', '0.396700', '0.715600', '0:00:49']
['17/150', '1.551701', '1.321334', '0.618436', '0.890846', '0.521424', '0.823937', '2.837109', '2.592896', '0.437300', '0.739000', '0.437700', '0.739200', '0:00:47']
['18/150', '1.492177', '1.259546', '0.633578', '0.902565', '0.531210', '0.835233', '2.391412', '2.149571', '0.491500', '0.784500', '0.442900', '0.741900', '0:00:47']
['19/150', '1.442340', '1.206061', '0.647270', '0.909653', '0.540633', '0.839683', '2.602588', '2.357456', '0.479900', '0.769900', '0.440500', '0.743500', '0:00:47']
['20/150', '1.373242', '1.132727', '0.666700', '0.918553', '0.554345', '0.851502', '2.473751', '2.217788', '0.503100', '0.791500', '0.458300', '0.757900', '0:00:47']
['21/150', '1.320746', '1.075163', '0.681741', '0.926848', '0.566728', '0.857059', '2.480745', '2.218179', '0.491600', '0.790500', '0.478700', '0.776700', '0:00:47']
['22/150', '1.266224', '1.015643', '0.695353', '0.933855', '0.573333', '0.863362', '2.892037', '2.611520', '0.476600', '0.759300', '0.479600', '0.781900', '0:00:48']
['23/150', '1.280869', '1.024074', '0.696923', '0.935648', '0.575407', '0.863785', '2.381017', '2.113543', '0.524400', '0.806000', '0.495700', '0.789400', '0:00:47']
['24/150', '1.178170', '0.916454', '0.722314', '0.947628', '0.594857', '0.873470', '2.414214', '2.136548', '0.535700', '0.804900', '0.479000', '0.762800', '0:00:48']
['25/150', '1.150875', '0.882471', '0.736670', '0.951575', '0.600435', '0.879289', '2.589735', '2.306781', '0.501700', '0.792600', '0.489900', '0.790400', '0:00:47']
['26/150', '1.108138', '0.834316', '0.744543', '0.956004', '0.610140', '0.885571', '2.578521', '2.287215', '0.522300', '0.799700', '0.523800', '0.810300', '0:00:47']
['27/150', '1.097718', '0.815998', '0.752034', '0.957514', '0.611892', '0.888209', '2.461386', '2.158073', '0.537800', '0.814600', '0.527500', '0.813800', '0:00:50']
['28/150', '1.118830', '0.828168', '0.747906', '0.958441', '0.612758', '0.886880', '5.763875', '5.419539', '0.449500', '0.733300', '0.484800', '0.792500', '0:00:47']
['29/150', '1.070280', '0.775798', '0.764276', '0.963454', '0.622322', '0.892216', '2.327135', '2.026456', '0.560700', '0.831500', '0.538600', '0.826700', '0:00:47']
['30/150', '1.012497', '0.710122', '0.781592', '0.969274', '0.636759', '0.900250', '3.033277', '2.675131', '0.497600', '0.783300', '0.507800', '0.799100', '0:00:47']
['31/150', '0.968181', '0.659774', '0.794016', '0.972032', '0.646021', '0.905485', '2.691447', '2.352613', '0.537100', '0.817300', '0.516800', '0.806600', '0:00:47']
['32/150', '0.952837', '0.636606', '0.800701', '0.975093', '0.651558', '0.908988', '2.682893', '2.338950', '0.542800', '0.817500', '0.552600', '0.830100', '0:00:47']
['33/150', '0.942919', '0.619935', '0.804828', '0.975858', '0.657458', '0.913740', '3.409631', '2.988888', '0.510800', '0.790000', '0.536400', '0.817600', '0:00:47']
['34/150', '0.980563', '0.648501', '0.802251', '0.975374', '0.661344', '0.913982', '2.855001', '2.474746', '0.531700', '0.804100', '0.534000', '0.811300', '0:00:47']
['35/150', '0.923588', '0.584780', '0.817916', '0.977730', '0.671734', '0.918573', '2.759845', '2.380901', '0.553600', '0.823800', '0.559200', '0.826600', '0:00:47']
['36/150', '0.900945', '0.556392', '0.824964', '0.980610', '0.677211', '0.922902', '2.599027', '2.220138', '0.568100', '0.828000', '0.541400', '0.824100', '0:00:47']
['37/150', '0.918673', '0.566201', '0.830984', '0.979845', '0.679184', '0.924191', '4.708467', '4.157894', '0.401900', '0.704000', '0.426200', '0.734300', '0:00:47']
['38/150', '1.009852', '0.646380', '0.803862', '0.975395', '0.673164', '0.920707', '2.853244', '2.447373', '0.543600', '0.815300', '0.540500', '0.816700', '0:00:47']
['39/150', '0.892697', '0.526189', '0.837709', '0.982925', '0.692896', '0.930594', '2.835258', '2.398798', '0.560800', '0.826300', '0.550800', '0.829500', '0:00:48']
['40/150', '0.881673', '0.508885', '0.841334', '0.984516', '0.701514', '0.931439', '2.997493', '2.571649', '0.547300', '0.813100', '0.545600', '0.827300', '0:00:47']
['41/150', '0.859683', '0.480654', '0.847294', '0.985885', '0.708622', '0.936614', '2.802272', '2.362985', '0.566200', '0.833700', '0.556200', '0.836200', '0:00:47']
['42/150', '0.845670', '0.456065', '0.856395', '0.985946', '0.710635', '0.939050', '2.913480', '2.448535', '0.556500', '0.824200', '0.556000', '0.828400', '0:00:47']
['43/150', '0.843564', '0.450983', '0.856335', '0.986650', '0.718992', '0.940279', '5.838449', '4.931308', '0.413700', '0.708900', '0.552400', '0.819400', '0:00:47']
['44/150', '0.843741', '0.443987', '0.860784', '0.987939', '0.722415', '0.942433', '3.801750', '3.159492', '0.515100', '0.788400', '0.561600', '0.828800', '0:00:48']
['45/150', '0.904916', '0.493539', '0.848522', '0.985764', '0.718690', '0.943420', '3.165678', '2.666361', '0.546900', '0.818400', '0.540000', '0.819600', '0:00:49']
['46/150', '0.826829', '0.414956', '0.867731', '0.989811', '0.729502', '0.947547', '3.156377', '2.652251', '0.551000', '0.816000', '0.564900', '0.835400', '0:00:49']
['47/150', '0.827194', '0.408754', '0.871134', '0.988865', '0.736811', '0.948756', '3.856180', '3.199870', '0.516500', '0.780700', '0.535000', '0.810000', '0:00:49']
['48/150', '0.895746', '0.466764', '0.858992', '0.987174', '0.732382', '0.947789', '4.085196', '3.353624', '0.499900', '0.782000', '0.549500', '0.819800', '0:00:52']
['49/150', '0.882921', '0.448037', '0.861731', '0.987576', '0.737355', '0.951897', '3.023551', '2.461127', '0.560900', '0.826400', '0.573000', '0.840100', '0:00:48']
['50/150', '0.793588', '0.360008', '0.884504', '0.992067', '0.752879', '0.955722', '2.936519', '2.378404', '0.575600', '0.831700', '0.566200', '0.839100', '0:00:50']
['51/150', '0.809223', '0.366691', '0.882933', '0.991221', '0.756322', '0.956246', '3.383892', '2.737498', '0.548300', '0.810100', '0.562000', '0.833000', '0:00:48']
['52/150', '0.926816', '0.464899', '0.857583', '0.987496', '0.743698', '0.951736', '3.163535', '2.574023', '0.563600', '0.827900', '0.567600', '0.832300', '0:00:49']
['53/150', '0.807731', '0.362140', '0.886397', '0.991765', '0.766692', '0.960817', '2.910657', '2.320051', '0.581900', '0.841400', '0.577200', '0.842600', '0:00:49']
['54/150', '0.778165', '0.325173', '0.896142', '0.993396', '0.771464', '0.961844', '2.892145', '2.289564', '0.593800', '0.845200', '0.585600', '0.847300', '0:00:47']
['55/150', '0.793159', '0.334724', '0.892699', '0.992751', '0.773880', '0.963837', '3.297613', '2.622398', '0.556000', '0.826100', '0.582500', '0.849600', '0:00:47']
['56/150', '0.792172', '0.328960', '0.893988', '0.992993', '0.782780', '0.964904', '3.873949', '3.051639', '0.541700', '0.806300', '0.567700', '0.835300', '0:00:48']
['57/150', '0.933115', '0.440602', '0.871879', '0.989832', '0.765041', '0.960736', '4.862929', '3.837313', '0.471500', '0.756500', '0.580100', '0.844100', '0:00:47']
['58/150', '0.837820', '0.361866', '0.888672', '0.992127', '0.781713', '0.965528', '3.674316', '2.906726', '0.555000', '0.819100', '0.571900', '0.841700', '0:00:48']
['59/150', '0.830175', '0.351361', '0.890967', '0.991785', '0.786485', '0.967300', '3.152638', '2.434937', '0.590500', '0.836400', '0.587400', '0.851400', '0:00:46']
['60/150', '0.793641', '0.317028', '0.900491', '0.993235', '0.794580', '0.969636', '3.157206', '2.454530', '0.573000', '0.836300', '0.587900', '0.852300', '0:00:47']
['61/150', '0.774623', '0.290076', '0.906371', '0.994342', '0.797076', '0.971931', '3.083162', '2.405806', '0.590800', '0.843000', '0.593300', '0.851400', '0:00:47']
['62/150', '0.770918', '0.286518', '0.907599', '0.994725', '0.803238', '0.972092', '2.964993', '2.264156', '0.596200', '0.848200', '0.591400', '0.851500', '0:00:47']
['63/150', '0.768087', '0.284304', '0.908686', '0.994886', '0.808976', '0.974247', '3.189741', '2.465678', '0.584600', '0.839200', '0.563100', '0.830400', '0:00:47']
['64/150', '0.774269', '0.285838', '0.909613', '0.994040', '0.812903', '0.973925', '3.045855', '2.298708', '0.592000', '0.845500', '0.580300', '0.842500', '0:00:47']
['65/150', '0.769381', '0.280508', '0.909009', '0.994886', '0.815460', '0.976240', '3.139153', '2.376118', '0.596800', '0.849900', '0.575700', '0.847400', '0:00:47']
['66/150', '0.762232', '0.270778', '0.913277', '0.995510', '0.817111', '0.977328', '3.268900', '2.426504', '0.583500', '0.840500', '0.573800', '0.844000', '0:00:47']
['67/150', '0.762329', '0.266930', '0.916418', '0.995107', '0.826434', '0.978516', '3.812726', '2.826517', '0.560700', '0.819800', '0.589700', '0.849600', '0:00:48']
['68/150', '0.790762', '0.287824', '0.910136', '0.995127', '0.823292', '0.979200', '3.908831', '2.911725', '0.552700', '0.818100', '0.584200', '0.843100', '0:00:47']
['69/150', '0.815186', '0.304657', '0.906935', '0.994825', '0.822507', '0.978938', '3.980567', '2.924822', '0.544500', '0.816300', '0.570900', '0.835000', '0:00:47']
['70/150', '0.800593', '0.290539', '0.912129', '0.995027', '0.828608', '0.979502', '3.036439', '2.228477', '0.599100', '0.852000', '0.574800', '0.845100', '0:00:47']
['71/150', '0.717162', '0.226161', '0.927009', '0.996255', '0.842220', '0.981818', '3.349348', '2.376142', '0.596000', '0.850700', '0.566600', '0.832600', '0:00:47']
