['1/150', '4.653615', '3.750665', '0.135148', '0.361993', '0.016652', '0.081729', '4.403957', '3.507725', '0.182200', '0.441600', '0.026100', '0.113400', '0:00:46']
['2/150', '3.945301', '3.058716', '0.243134', '0.541157', '0.029538', '0.126953', '3.836059', '2.957787', '0.253700', '0.572700', '0.032000', '0.145900', '0:00:43']
['3/150', '3.559039', '2.693145', '0.314191', '0.634242', '0.056580', '0.207051', '3.560563', '2.705589', '0.324300', '0.647300', '0.089000', '0.292600', '0:00:44']
['4/150', '3.282637', '2.443636', '0.363301', '0.686976', '0.117832', '0.362818', '3.436647', '2.612042', '0.342200', '0.650700', '0.153900', '0.409200', '0:00:45']
['5/150', '3.079115', '2.275369', '0.398438', '0.724992', '0.218488', '0.522068', '3.468102', '2.682666', '0.342400', '0.659200', '0.192600', '0.482000', '0:00:43']
['6/150', '2.895334', '2.136570', '0.426345', '0.751329', '0.294801', '0.613402', '3.252613', '2.516045', '0.358300', '0.684600', '0.253100', '0.552100', '0:00:42']
['7/150', '2.719765', '2.015927', '0.454897', '0.773901', '0.331910', '0.658747', '3.834647', '3.156089', '0.297200', '0.622800', '0.209200', '0.497100', '0:00:42']
['8/150', '2.570588', '1.930279', '0.473864', '0.788660', '0.359013', '0.683372', '3.051432', '2.438879', '0.400400', '0.704300', '0.318000', '0.640400', '0:00:43']
['9/150', '2.436286', '1.862806', '0.487154', '0.802231', '0.378644', '0.703326', '3.288697', '2.739537', '0.363700', '0.660600', '0.268700', '0.565500', '0:00:43']
['10/150', '2.292522', '1.777894', '0.505114', '0.819286', '0.396263', '0.719455', '2.829737', '2.331666', '0.428300', '0.730200', '0.320300', '0.630600', '0:00:43']
['11/150', '2.178960', '1.705841', '0.525169', '0.829353', '0.408445', '0.736187', '2.923875', '2.456045', '0.417100', '0.733600', '0.266700', '0.583800', '0:00:43']
['12/150', '2.097784', '1.648976', '0.539123', '0.841616', '0.423727', '0.749174', '2.550213', '2.098194', '0.468500', '0.764700', '0.306800', '0.609300', '0:00:43']
['13/150', '2.046721', '1.610278', '0.548566', '0.846629', '0.437460', '0.757732', '2.936334', '2.498111', '0.433500', '0.729400', '0.378600', '0.680200', '0:00:43']
['14/150', '1.969359', '1.537852', '0.563466', '0.858207', '0.444628', '0.767316', '2.686351', '2.248259', '0.446900', '0.754400', '0.378200', '0.694500', '0:00:43']
['15/150', '1.889487', '1.459407', '0.582353', '0.873288', '0.465548', '0.781612', '2.566279', '2.119730', '0.478700', '0.772200', '0.331900', '0.649400', '0:00:43']
['16/150', '1.820934', '1.389431', '0.603797', '0.884242', '0.474992', '0.793673', '2.742246', '2.300920', '0.449600', '0.746100', '0.374800', '0.693800', '0:00:42']
['17/150', '1.755015', '1.320093', '0.615738', '0.894914', '0.483247', '0.799211', '2.639047', '2.184023', '0.490800', '0.783800', '0.376900', '0.690100', '0:00:42']
['18/150', '1.694661', '1.256058', '0.635591', '0.904559', '0.496698', '0.810507', '3.267478', '2.810515', '0.416000', '0.702100', '0.335000', '0.636600', '0:00:42']
['19/150', '1.617807', '1.174324', '0.653592', '0.912190', '0.509242', '0.817292', '2.809861', '2.351913', '0.478500', '0.761600', '0.446000', '0.746200', '0:00:43']
['20/150', '1.566292', '1.117764', '0.666821', '0.921211', '0.520820', '0.823675', '2.937211', '2.462664', '0.470500', '0.763100', '0.384400', '0.699900', '0:00:42']
