['1/150', '3.690993', '3.690993', '0.144974', '0.376893', '0.011638', '0.060205', '3.265049', '3.265049', '0.205600', '0.488200', '0.011900', '0.058700', '0:00:38']
['2/150', '3.021802', '3.021801', '0.253604', '0.553177', '0.011960', '0.062279', '3.112598', '3.112598', '0.255900', '0.544800', '0.009600', '0.058200', '0:00:37']
['3/150', '2.639989', '2.639636', '0.325709', '0.645538', '0.018222', '0.077118', '2.664813', '2.664444', '0.323000', '0.639800', '0.025600', '0.113700', '0:00:37']
['4/150', '2.426781', '2.425336', '0.368516', '0.694487', '0.040230', '0.155304', '2.648567', '2.647102', '0.333900', '0.648700', '0.054900', '0.213000', '0:00:37']
['5/150', '2.281286', '2.278493', '0.399062', '0.726703', '0.089240', '0.298184', '2.968051', '2.965050', '0.305300', '0.616300', '0.111300', '0.336400', '0:00:37']
['6/150', '2.133203', '2.129380', '0.432627', '0.752537', '0.175681', '0.450568', '2.313725', '2.309561', '0.407600', '0.725000', '0.186500', '0.484900', '0:00:37']
['7/150', '2.023267', '2.018130', '0.456810', '0.773860', '0.228375', '0.535499', '2.463866', '2.456816', '0.387700', '0.689200', '0.176100', '0.455500', '0:00:38']
['8/150', '1.940928', '1.934023', '0.475314', '0.789485', '0.259826', '0.581206', '2.381908', '2.372643', '0.412800', '0.709000', '0.224300', '0.529300', '0:00:39']
['9/150', '1.859795', '1.850496', '0.491604', '0.805835', '0.285921', '0.612818', '2.400981', '2.378694', '0.413000', '0.710300', '0.119900', '0.358700', '0:00:37']
['10/150', '1.811595', '1.799446', '0.504631', '0.815863', '0.298949', '0.625423', '2.290605', '2.270514', '0.443100', '0.736300', '0.245600', '0.545900', '0:00:38']
['11/150', '1.753234', '1.737999', '0.516209', '0.825004', '0.315440', '0.642639', '2.166107', '2.139703', '0.455300', '0.760900', '0.212000', '0.523200', '0:00:38']
['12/150', '1.682198', '1.662961', '0.537009', '0.837427', '0.327118', '0.656411', '2.286479', '2.256189', '0.437000', '0.735200', '0.227600', '0.529200', '0:00:37']
['13/150', '1.629484', '1.606217', '0.548244', '0.850093', '0.340528', '0.672539', '2.128011', '2.093307', '0.472700', '0.764800', '0.264500', '0.571800', '0:00:38']
['14/150', '1.562332', '1.534428', '0.565097', '0.861147', '0.352448', '0.686936', '2.173004', '2.136695', '0.461600', '0.760300', '0.298000', '0.617600', '0:00:38']
['15/150', '1.496644', '1.463808', '0.582192', '0.871476', '0.366302', '0.698715', '2.632131', '2.577975', '0.411100', '0.724500', '0.257400', '0.578100', '0:00:38']
