['1/150', '3.618035', '3.618035', '0.156090', '0.391345', '0.014165', '0.065601', '3.133562', '3.133562', '0.237300', '0.525600', '0.013000', '0.069300', '0:02:20']
['2/150', '3.061321', '3.061321', '0.248900', '0.538312', '0.017726', '0.077365', '2.907963', '2.907964', '0.284600', '0.588200', '0.019500', '0.078700', '0:02:18']
['3/150', '2.797912', '2.797586', '0.296155', '0.602213', '0.025168', '0.103793', '2.691273', '2.690910', '0.323000', '0.633300', '0.035500', '0.141300', '0:02:18']
['4/150', '2.608780', '2.607477', '0.331586', '0.648227', '0.052937', '0.200984', '2.541963', '2.540613', '0.356700', '0.671100', '0.073400', '0.258000', '0:02:18']
['5/150', '2.478432', '2.475858', '0.359995', '0.676236', '0.101933', '0.319162', '2.359246', '2.356778', '0.387900', '0.702600', '0.147300', '0.407000', '0:02:18']
['6/150', '2.353141', '2.349784', '0.382903', '0.706786', '0.182178', '0.460107', '2.229596', '2.226656', '0.421300', '0.731300', '0.245800', '0.550900', '0:02:18']
['7/150', '2.231938', '2.228169', '0.408151', '0.732434', '0.252101', '0.560920', '2.304758', '2.301141', '0.413300', '0.713900', '0.275900', '0.588100', '0:02:19']
['8/150', '2.119658', '2.115179', '0.435079', '0.752761', '0.297935', '0.614577', '2.207047', '2.202666', '0.436800', '0.735900', '0.319400', '0.631500', '0:02:18']
['9/150', '2.007699', '2.002257', '0.458527', '0.773588', '0.332546', '0.653789', '2.017883', '2.012471', '0.470500', '0.770500', '0.370700', '0.669100', '0:02:18']
['10/150', '1.909124', '1.902271', '0.483575', '0.793714', '0.358075', '0.680518', '1.985881', '1.978974', '0.480000', '0.784800', '0.388900', '0.717100', '0:02:18']
['11/150', '1.810578', '1.801966', '0.505582', '0.812440', '0.379241', '0.703405', '1.878434', '1.869901', '0.500500', '0.796700', '0.408400', '0.724200', '0:02:19']
['12/150', '1.729647', '1.719078', '0.525388', '0.825624', '0.399108', '0.721091', '1.933661', '1.922011', '0.504800', '0.795600', '0.399600', '0.716300', '0:02:19']
['13/150', '1.647822', '1.634982', '0.546695', '0.840949', '0.418734', '0.739277', '1.986211', '1.972949', '0.496200', '0.782100', '0.404100', '0.716700', '0:02:19']
['14/150', '1.555371', '1.539742', '0.564381', '0.856974', '0.434199', '0.753741', '1.886318', '1.870353', '0.522100', '0.807500', '0.455900', '0.768600', '0:02:18']
['15/150', '1.476238', '1.457535', '0.588268', '0.869518', '0.449044', '0.767146', '1.735330', '1.717639', '0.553400', '0.828700', '0.480000', '0.785900', '0:02:19']
['16/150', '1.388526', '1.366396', '0.607354', '0.883663', '0.467210', '0.778129', '1.729964', '1.708247', '0.559200', '0.835300', '0.478800', '0.783900', '0:02:19']
['17/150', '1.319521', '1.293572', '0.628581', '0.893286', '0.478153', '0.789753', '1.715525', '1.689935', '0.565700', '0.836100', '0.492000', '0.793500', '0:02:18']
['18/150', '1.241055', '1.210632', '0.648408', '0.905710', '0.493838', '0.799656', '1.734479', '1.705609', '0.560100', '0.840300', '0.494500', '0.793600', '0:02:19']
['19/150', '1.181486', '1.146439', '0.662592', '0.915473', '0.502881', '0.807478', '1.783947', '1.749130', '0.566700', '0.831000', '0.490000', '0.784500', '0:02:18']
['20/150', '1.123061', '1.083046', '0.679978', '0.923776', '0.511244', '0.815161', '1.659021', '1.621704', '0.584700', '0.854000', '0.530400', '0.814800', '0:02:18']
['21/150', '1.068396', '1.022886', '0.697503', '0.930178', '0.520226', '0.820583', '1.660421', '1.618509', '0.585900', '0.852700', '0.529100', '0.817100', '0:02:19']
['22/150', '1.026269', '0.974462', '0.708947', '0.936300', '0.529830', '0.827965', '1.800076', '1.750437', '0.581000', '0.839400', '0.511100', '0.797900', '0:02:18']
['23/150', '0.981391', '0.923617', '0.723391', '0.943002', '0.539833', '0.832206', '1.738691', '1.685969', '0.586400', '0.842800', '0.534400', '0.814800', '0:02:19']
['24/150', '0.948691', '0.884466', '0.730454', '0.947663', '0.543354', '0.838208', '1.758766', '1.700217', '0.588200', '0.847700', '0.538700', '0.823000', '0:02:19']
['25/150', '0.907582', '0.836806', '0.744918', '0.952505', '0.551316', '0.843490', '1.714595', '1.650151', '0.595000', '0.853400', '0.548100', '0.826900', '0:02:19']
['26/150', '0.875333', '0.796181', '0.758803', '0.956786', '0.559239', '0.846611', '1.746905', '1.679495', '0.599600', '0.853900', '0.559100', '0.832000', '0:02:19']
['27/150', '0.853794', '0.767956', '0.763864', '0.959967', '0.566721', '0.851212', '1.781794', '1.703292', '0.602000', '0.856000', '0.548400', '0.831900', '0:02:19']
['28/150', '0.823564', '0.729470', '0.773908', '0.964729', '0.568042', '0.852933', '1.749231', '1.663415', '0.606300', '0.859800', '0.557300', '0.826300', '0:02:19']
['29/150', '0.807764', '0.706983', '0.782010', '0.966069', '0.575784', '0.858855', '1.807646', '1.718898', '0.604300', '0.861800', '0.563500', '0.840100', '0:02:18']
