['1/150', '3.618554', '0.154990', '0.390345', '3.146770', '0.243100', '0.519400', '0:01:06']
['2/150', '3.045609', '0.252541', '0.540293', '2.856626', '0.293100', '0.586300', '0:01:04']
['3/150', '2.761363', '0.303137', '0.608995', '2.607346', '0.335900', '0.649700', '0:01:07']
['4/150', '2.571692', '0.342570', '0.655690', '2.512382', '0.367200', '0.666700', '0:01:16']
['5/150', '2.432422', '0.372179', '0.686820', '2.485603', '0.369700', '0.679400', '0:01:10']
['6/150', '2.322427', '0.394186', '0.712008', '2.247178', '0.414100', '0.722500', '0:01:11']
['7/150', '2.203201', '0.417674', '0.734915', '2.205944', '0.430900', '0.732700', '0:01:10']
['8/150', '2.093550', '0.438780', '0.756902', '2.265230', '0.425200', '0.729600', '0:01:09']
['9/150', '1.984210', '0.465009', '0.776749', '2.159980', '0.442000', '0.749100', '0:01:12']
['10/150', '1.881198', '0.485575', '0.797655', '1.996639', '0.473800', '0.768700', '0:01:07']
['11/150', '1.791959', '0.506082', '0.813020', '1.889257', '0.505500', '0.797600', '0:01:10']
['12/150', '1.704461', '0.525348', '0.828825', '1.845323', '0.513500', '0.810100', '0:01:11']
['13/150', '1.616097', '0.545975', '0.844350', '1.867760', '0.513900', '0.803600', '0:01:10']
['14/150', '1.527426', '0.570202', '0.859315', '1.777896', '0.535800', '0.820200', '0:01:10']
['15/150', '1.447849', '0.587228', '0.871199', '1.762704', '0.533100', '0.819600', '0:01:12']
['16/150', '1.363985', '0.609435', '0.883283', '1.839045', '0.536400', '0.811100', '0:01:08']
['17/150', '1.273087', '0.632462', '0.898027', '1.619657', '0.572700', '0.843800', '0:01:10']
['18/150', '1.203197', '0.648708', '0.908151', '1.709626', '0.564800', '0.838100', '0:01:11']
['19/150', '1.136484', '0.665273', '0.916713', '1.628617', '0.578700', '0.853700', '0:01:10']
['20/150', '1.073655', '0.682618', '0.924476', '1.680531', '0.577800', '0.844500', '0:01:10']
['21/150', '1.020392', '0.696463', '0.931578', '1.764683', '0.572900', '0.840800', '0:01:12']
['22/150', '0.966177', '0.709787', '0.938600', '1.742669', '0.575400', '0.850500', '0:01:09']
['23/150', '0.919751', '0.723011', '0.942962', '1.621433', '0.600400', '0.855600', '0:01:11']
['24/150', '0.870534', '0.737416', '0.950204', '1.690107', '0.595900', '0.856200', '0:01:10']
['25/150', '0.832342', '0.745639', '0.953245', '1.725414', '0.596400', '0.852000', '0:01:09']
['26/150', '0.797542', '0.757362', '0.957566', '1.722043', '0.596100', '0.853500', '0:01:13']
